vendor_id,vendor_name,country,state,city,industry,contact_email,phone,status,risk_band,onboarding_date,last_updated,pan,gst,tax_id,registration_number,website,primary_contact_name,primary_contact_title,bank_account,ifsc_code,swift_code
VENDOR-0001,Bakshi Services,India,Gujarat,East Donald,IT Services,samiazad@chander.com,3863794026,REJECTED,MEDIUM,2025-07-06,2025-07-30,IGDML8527T,27ZXRMR3045U7ZS,,CIN-U10341MH3164PTC752553,http://www.daniel.net/,Daksh Karnik,Manager,ZKMI1395376724238,PUNB0969693,
VENDOR-0002,"Richards, Hurst and Ross Pvt Ltd",India,Delhi,Danapur,Telecommunications,camposmichelle@burton.biz,06978480184,APPROVED,LOW,2025-09-12,2025-09-15,DNOXQ4814Q,13UUEYR7227T5ZP,,CIN-U15430MH3911PTC718227,https://zacharia.com/,Michael Brooks,CFO,DHHC50983930103105,UTIB0270555,
VENDOR-0003,Varkey Services,India,Karnataka,Shivpuri,Education,urvashikibe@ray-gupta.com,6566701065,APPROVED,LOW,2025-09-14,2025-10-05,HGEFO3803C,27ZBCFP5010G3ZB,,CIN-U60647MH4687PTC234309,https://www.sood.net/,Yashoda Buch,CFO,CTCV3619399091699,KKBK0383060,
VENDOR-0004,Donovan Industries,India,Delhi,Mathura,IT Services,panderson@bryant-hickman.com,09911838425,APPROVED,LOW,2025-11-01,2025-11-27,HJOTV6168V,22EDXIT5386W2ZG,,CIN-U87401MH6400PTC524278,http://www.landry.com/,Manbir Sani,Director,BJLZ0533158692322,UTIB0322955,
VENDOR-0005,DDT Global Solutions,India,Kerala,East Jillmouth,Construction,josephcobb@reyes.info,+917543303654,APPROVED,LOW,2025-10-17,2025-11-15,YLVAI7543S,21BTLNM4593I3ZW,,CIN-U08835MH6159PTC514846,https://martinez.com/,Roy Torres,Head of Procurement,NZST5777387214895,INDB0195325,
VENDOR-0006,Wahab Enterprises Enterprises,UK,,Port James,Education,kondavaishnavi@bora.org,6763201632,APPROVED,MEDIUM,2025-06-24,2025-06-27,,,0831727889575,REG-87277434,http://jones-mitchell.com/,Joshua Taylor,CFO,MWEW3166587603669,,PALJGBY088O
VENDOR-0007,NZW Tech Private Limited,India,Uttar Pradesh,West Ryan,Telecommunications,qnayar@ravel.com,09901627204,PENDING,LOW,2025-09-17,2025-10-12,KOKII6573P,13XLUYY5808H7ZA,,CIN-U32719MH3745PTC299124,http://prashad.com/,Charvi Dara,Director,LRNV5185067165726,INDB0103402,
VENDOR-0008,"Vig, Madan and Yohannan Solutions",UK,,Grahamshire,Automotive,melissa14@sanchez-marshall.org,207-552-7354x54948,REJECTED,MEDIUM,2025-08-18,2025-09-04,,,3678377701430,REG-34957885,https://chavez.com/,Joshua Gill,Head of Procurement,GGXP4989413435240,,BBRJGBI5GAS
VENDOR-0009,Timothy Enterprises Industries,India,Maharashtra,North Johnny,Education,shortrichard@ray.com,+919413186999,APPROVED,LOW,2025-08-01,2025-08-12,YOJJT9005Y,10UIFFF2832N6ZW,,CIN-U40344MH7134PTC936183,https://www.bhasin.com/,John Torres,VP Operations,IQRP71906594013990,AXIS0160738,
VENDOR-0010,"Williams, Avila and Ruiz Corporation",USA,,Howardshire,Manufacturing,ecosta@ortiz-morris.com,06746807154,APPROVED,HIGH,2025-08-12,2025-09-06,,,1680876038599,REG-70348247,http://www.lynch.net/,Girik Kar,Head of Procurement,ODUE7484677378263,,IYZNGBV6
